City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Dunedin,NZ,-45.8742,170.5036,56.8,72,100,1.03,overcast clouds
1,Oistins,BB,13.0667,-59.5333,82.49,78,40,9.22,scattered clouds
2,Acarau,BR,-2.8856,-40.12,77.85,83,60,17.9,broken clouds
3,Rognan,NO,67.0953,15.3878,48.88,93,100,2.37,overcast clouds
4,Iquitos,PE,-3.7481,-73.2472,78.84,89,40,4.61,scattered clouds
5,Saint George,US,37.1041,-113.5841,94.62,28,0,8.05,clear sky
6,Dingle,PH,10.9995,122.6711,83.93,75,56,7.74,broken clouds
7,Haines Junction,CA,60.7522,-137.5108,54.25,46,100,5.14,overcast clouds
8,Eslamshahr,IR,35.5605,51.2346,72.84,37,40,11.5,scattered clouds
9,Awjilah,LY,29.1081,21.2869,79.99,45,0,8.79,clear sky
10,Aracati,BR,-4.5617,-37.7697,77.63,78,96,14.85,overcast clouds
11,Corowa,AU,-36.0333,146.3833,55.58,86,91,10.27,overcast clouds
12,Mahebourg,MU,-20.4081,57.7,67.24,75,6,12.71,clear sky
13,Mackay,AU,-21.15,149.2,78.67,69,1,10.4,clear sky
14,Sibolga,ID,1.7427,98.7792,80.01,77,99,1.1,overcast clouds
15,Norman Wells,CA,65.282,-126.8329,53.19,60,97,5.68,overcast clouds
16,Lypova Dolyna,UA,50.5643,33.7979,48.79,67,99,6.73,overcast clouds
17,Avarua,CK,-21.2078,-159.775,77.05,73,40,11.5,scattered clouds
18,Guerrero Negro,MX,27.9769,-114.0611,77.85,74,0,12.95,clear sky
19,Provideniya,RU,64.3833,-173.3,46.51,93,100,17.9,light intensity shower rain
20,Yabelo,ET,4.8833,38.0833,62.62,63,98,9.57,overcast clouds
21,Ayan,RU,56.45,138.1667,52.61,62,100,3.91,overcast clouds
22,Iqaluit,CA,63.7506,-68.5145,43.7,81,100,5.99,overcast clouds
23,Pisco,PE,-13.7,-76.2167,61.02,82,15,16.11,mist
24,East London,ZA,-33.0153,27.9116,59.65,74,100,16.71,light rain
25,Kawalu,ID,-7.3817,108.2082,76.75,85,69,2.26,broken clouds
26,Banda Aceh,ID,5.5577,95.3222,80.98,75,100,6.15,overcast clouds
27,Sampang,ID,-7.1872,113.2394,83.01,69,99,9.91,overcast clouds
28,Iquique,CL,-20.2208,-70.1431,59.04,76,30,6.31,scattered clouds
29,Rikitea,PF,-23.1203,-134.9692,72.64,74,8,4.23,light rain
30,Ormara,PK,25.2088,64.6357,80.33,88,100,15.77,overcast clouds
31,Georgiyevka,KZ,43.0369,74.7114,46.44,66,0,4.47,clear sky
32,Klaksvik,FO,62.2266,-6.589,47.32,91,33,6.78,scattered clouds
33,Yanam,IN,16.7333,82.2167,75.74,94,100,6.46,moderate rain
34,Lagoa,PT,39.05,-27.9833,72.16,78,100,22.73,overcast clouds
35,Grand Gaube,MU,-20.0064,57.6608,67.37,75,12,4.0,few clouds
36,Vaini,TO,-21.2,-175.2,82.56,69,20,8.05,few clouds
37,Busselton,AU,-33.65,115.3333,63.93,79,7,13.0,clear sky
38,Hofn,IS,64.2539,-15.2082,51.55,74,80,9.62,broken clouds
39,Kyzyl,RU,51.7,94.45,61.27,34,100,1.16,overcast clouds
40,Ornskoldsvik,SE,63.2909,18.7153,36.55,100,100,4.61,overcast clouds
41,Pacific Grove,US,36.6177,-121.9166,80.46,70,0,8.05,clear sky
42,Ocos,GT,14.5094,-92.1933,75.38,78,99,2.04,overcast clouds
43,Chuy,UY,-33.6971,-53.4616,48.99,86,100,3.51,overcast clouds
44,Richards Bay,ZA,-28.783,32.0377,65.61,80,100,13.47,light rain
45,Carnarvon,AU,-24.8667,113.6333,68.38,61,39,4.43,scattered clouds
46,Mago,RU,53.2514,140.1822,49.35,90,100,8.39,overcast clouds
47,Narsaq,GL,60.9167,-46.05,44.82,88,100,4.74,overcast clouds
48,Harper,LR,4.375,-7.7169,74.7,89,98,8.55,overcast clouds
49,Mataura,NZ,-46.1927,168.8643,58.6,50,100,3.02,light rain
50,Bluff,NZ,-46.6,168.3333,53.28,68,100,7.83,overcast clouds
51,Cabo San Lucas,MX,22.8909,-109.9124,85.6,70,20,12.66,few clouds
52,Port Alfred,ZA,-33.5906,26.891,55.18,93,100,4.0,light rain
53,Alta Floresta,BR,-9.8756,-56.0861,81.09,27,8,1.54,clear sky
54,Gorontalo,ID,0.5412,123.0595,85.39,67,28,0.29,scattered clouds
55,Karpathos,GR,35.507,27.2132,75.16,88,1,10.36,clear sky
56,Kodiak,US,57.79,-152.4072,56.71,72,75,9.22,broken clouds
57,Ushuaia,AR,-54.8,-68.3,40.66,70,40,18.41,scattered clouds
58,Khor,RU,47.8861,134.9464,67.71,71,100,3.91,overcast clouds
59,Itoman,JP,26.1247,127.6694,86.02,79,75,18.41,broken clouds
60,Qaanaaq,GL,77.484,-69.3632,36.91,98,100,6.8,overcast clouds
61,Albany,US,42.6001,-73.9662,66.88,88,100,3.51,overcast clouds
62,Pangkalanbuun,ID,-2.6833,111.6167,81.82,77,70,3.33,broken clouds
63,Port Moresby,PG,-9.4431,147.1797,84.15,70,58,3.94,broken clouds
64,Te Anau,NZ,-45.4167,167.7167,48.09,84,100,3.94,light rain
65,Alappuzha,IN,9.49,76.3264,77.0,85,100,4.74,overcast clouds
66,Margate,GB,51.3813,1.3862,65.89,92,70,3.0,broken clouds
67,Cherskiy,RU,68.75,161.3,44.91,72,84,7.99,broken clouds
68,Dikson,RU,73.5069,80.5464,38.39,96,100,15.43,light rain
69,Insar,RU,53.8653,44.3738,45.63,66,100,7.2,overcast clouds
70,Ondjiva,AO,-17.0667,15.7333,65.48,19,1,7.47,clear sky
71,Sitka,US,57.0531,-135.33,60.69,63,75,18.41,broken clouds
72,Khatanga,RU,71.9667,102.5,35.02,71,25,5.73,scattered clouds
73,Hobart,AU,-42.8794,147.3294,49.05,62,40,14.97,scattered clouds
74,New Norfolk,AU,-42.7826,147.0587,48.7,77,48,3.0,light rain
75,Codrington,AU,-38.2667,141.9667,52.66,69,24,13.58,few clouds
76,Bredasdorp,ZA,-34.5322,20.0403,45.36,82,8,3.29,clear sky
77,San Patricio,US,28.017,-97.5169,84.9,62,4,9.17,clear sky
78,Zaraza,VE,9.3503,-65.3245,76.28,87,88,7.81,overcast clouds
79,Lagdo,CM,9.05,13.7333,71.49,92,66,4.14,broken clouds
80,Esperance,AU,-33.8667,121.9,63.03,57,89,21.16,overcast clouds
81,Waihi Beach,NZ,-37.4,175.9333,64.9,79,50,10.0,scattered clouds
82,Mar Del Plata,AR,-38.0023,-57.5575,55.09,77,0,17.0,clear sky
83,San Pedro,PH,14.35,121.0167,85.32,79,40,9.22,scattered clouds
84,Rawson,AR,-43.3002,-65.1023,52.16,60,91,4.99,overcast clouds
85,Leningradskiy,RU,69.3833,178.4167,42.93,73,5,12.35,clear sky
86,Port Elizabeth,ZA,-33.918,25.5701,54.32,96,75,3.44,light rain
87,Tasiilaq,GL,65.6145,-37.6368,41.16,77,100,10.78,overcast clouds
88,Shimoda,JP,34.6667,138.95,79.11,66,100,18.01,overcast clouds
89,Bure,ET,10.7,37.0667,53.29,95,43,2.75,scattered clouds
90,Nikolskoye,RU,59.7035,30.7861,47.88,84,100,4.59,overcast clouds
91,Leh,IN,34.1667,77.5833,52.52,62,8,6.33,clear sky
92,San Vicente,AR,-26.6167,-54.1333,58.03,99,100,1.79,overcast clouds
93,Fortuna,US,40.5982,-124.1573,70.93,81,59,1.01,broken clouds
94,La Esperanza,GT,14.8667,-91.5667,56.07,99,100,1.99,overcast clouds
95,Verkhnyaya Inta,RU,65.9811,60.3094,42.93,95,100,12.64,overcast clouds
96,Versalles,FR,48.8,2.1333,60.46,91,0,5.75,clear sky
97,Morondava,MG,-20.2833,44.2833,68.59,64,0,8.61,clear sky
98,Arraial Do Cabo,BR,-22.9661,-42.0278,67.3,72,99,5.57,overcast clouds
99,Kapaa,US,22.0752,-159.319,82.38,78,75,5.75,broken clouds
100,Qandala,SO,11.472,49.8728,87.31,65,100,2.75,overcast clouds
101,Kruisfontein,ZA,-34.0033,24.7314,51.89,62,99,11.74,overcast clouds
102,Souillac,MU,-20.5167,57.5167,68.38,88,75,6.91,broken clouds
103,Punta Arenas,CL,-53.15,-70.9167,39.31,75,40,2.3,scattered clouds
104,Mount Isa,AU,-20.7333,139.5,78.57,27,95,9.22,overcast clouds
105,Bagdarin,RU,54.4333,113.6,47.8,70,32,3.22,scattered clouds
106,Nkowakowa,ZA,-23.8878,30.2871,67.57,25,0,3.47,clear sky
107,Nemuro,JP,43.3236,145.575,65.61,81,59,9.89,broken clouds
108,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,87,100,3.44,overcast clouds
109,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.27,74,100,8.77,overcast clouds
110,Hermanus,ZA,-34.4187,19.2345,47.8,67,31,3.87,scattered clouds
111,Elko,US,41.0002,-115.5012,89.64,10,43,3.0,scattered clouds
112,Cidreira,BR,-30.1811,-50.2056,56.77,73,52,13.22,broken clouds
113,Heihe,CN,50.2441,127.4902,52.38,91,100,8.77,overcast clouds
114,Avera,US,33.194,-82.5271,77.05,92,100,6.04,overcast clouds
115,Ilulissat,GL,69.2167,-51.1,46.42,87,100,6.91,drizzle
116,Puerto Ayora,EC,-0.7393,-90.3518,66.54,90,82,3.0,broken clouds
117,Phibun Mangsahan,TH,15.2447,105.2291,78.85,85,17,5.7,few clouds
118,Jiangkou,CN,25.4872,119.1986,86.02,51,36,6.17,scattered clouds
119,Oranjemund,NA,-28.55,16.4333,53.28,78,100,17.96,overcast clouds
120,Alassio,IT,44.0039,8.1671,73.49,75,0,4.0,clear sky
121,Jamestown,US,42.097,-79.2353,69.03,76,100,3.44,overcast clouds
122,Ancud,CL,-41.8697,-73.8203,47.23,88,98,4.36,overcast clouds
123,Aklavik,CA,68.2191,-135.0107,43.68,89,100,4.81,overcast clouds
124,Rio Grande,BR,-32.035,-52.0986,49.95,85,5,6.85,clear sky
125,Atuona,PF,-9.8,-139.0333,77.02,69,0,15.84,clear sky
126,Luderitz,NA,-26.6481,15.1594,57.09,69,95,23.42,overcast clouds
127,Upernavik,GL,72.7868,-56.1549,40.14,95,100,6.87,overcast clouds
128,Anloga,GH,5.7947,0.8973,76.51,83,58,12.53,broken clouds
129,Kariba,ZW,-16.5167,28.8,69.46,41,0,3.4,clear sky
130,Sinnamary,GF,5.3833,-52.95,78.73,84,8,6.08,clear sky
131,Bapatla,IN,15.9,80.4667,78.94,78,100,13.98,overcast clouds
132,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,6.91,broken clouds
133,Cape Town,ZA,-33.9258,18.4232,56.37,73,4,4.0,clear sky
134,Lithakia,GR,37.7167,20.8333,74.57,73,0,15.68,clear sky
135,Tiksi,RU,71.6872,128.8694,37.22,75,86,14.81,overcast clouds
136,Namibe,AO,-15.1961,12.1522,63.23,87,98,7.96,overcast clouds
137,Jumla,NP,29.2747,82.1838,60.01,93,95,0.81,overcast clouds
138,Bestobe,KZ,52.4994,73.0975,43.05,77,16,14.94,few clouds
139,Florida,US,28.7505,-82.5001,79.92,86,0,0.0,clear sky
140,Laguna,US,38.421,-121.4238,94.32,22,0,8.05,clear sky
141,Barbastro,ES,42.0356,0.1269,73.94,67,89,5.84,overcast clouds
142,Severo-Kurilsk,RU,50.6789,156.125,56.55,79,45,10.02,scattered clouds
143,Sosnovo-Ozerskoye,RU,52.5249,111.5418,52.52,54,57,3.8,broken clouds
144,Sao Filipe,CV,14.8961,-24.4956,77.27,82,26,12.48,scattered clouds
145,Hilo,US,19.7297,-155.09,85.73,71,40,13.8,scattered clouds
146,Kharp,RU,66.8014,65.8081,38.89,94,100,7.38,overcast clouds
147,Nome,US,64.5011,-165.4064,51.87,93,100,19.57,moderate rain
148,Atar,MR,20.5169,-13.0499,94.1,34,88,5.19,overcast clouds
149,Georgetown,MY,5.4112,100.3354,82.89,80,20,2.3,few clouds
150,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,77,0,3.0,clear sky
151,Kahului,US,20.8947,-156.47,84.22,71,40,18.41,scattered clouds
152,Barrow,US,71.2906,-156.7887,37.42,93,100,17.27,mist
153,Araouane,ML,18.9048,-3.5265,95.92,27,12,9.55,few clouds
154,Camacha,PT,33.0833,-16.3333,71.02,83,75,14.97,broken clouds
155,Victoria,HK,22.2855,114.1577,89.26,77,11,8.01,few clouds
156,Frederico Westphalen,BR,-27.3592,-53.3944,57.43,96,76,2.1,broken clouds
157,Nehe,CN,48.4833,124.8333,63.66,63,92,12.37,overcast clouds
158,Prisacani,RO,47.0833,27.8833,58.53,94,11,4.45,few clouds
159,Paita,PE,-5.0892,-81.1144,63.99,80,2,16.98,clear sky
160,Yellowknife,CA,62.456,-114.3525,46.92,76,100,11.5,overcast clouds
161,Saldanha,ZA,-33.0117,17.9442,54.14,73,1,14.67,clear sky
162,Saint-Augustin,CA,51.226,-58.6502,54.86,80,0,7.96,clear sky
163,Sungairaya,ID,0.7,108.9,80.91,79,95,1.25,overcast clouds
164,Sarab,IR,38.6066,44.9883,60.49,66,0,0.94,clear sky
165,Ribeira Grande,PT,38.5167,-28.7,72.95,78,100,19.69,overcast clouds
166,Nanortalik,GL,60.1432,-45.2371,43.05,94,99,8.7,overcast clouds
167,Sheridan,US,44.8333,-106.9173,77.02,35,0,3.44,clear sky
168,Husavik,IS,66.0449,-17.3389,47.34,94,100,2.8,overcast clouds
169,Skorodnoye,RU,51.071,37.2276,56.3,33,100,16.15,overcast clouds
170,Anito,PH,12.4497,125.2886,86.27,67,100,9.55,overcast clouds
171,Praya,CV,14.9215,-23.5087,78.04,82,5,11.72,clear sky
172,Alcaniz,ES,41.05,-0.1333,76.95,63,100,5.3,overcast clouds
173,Touros,BR,-5.1989,-35.4608,76.91,77,38,15.61,scattered clouds
174,Fartura,BR,-23.3883,-49.51,58.32,83,100,10.96,overcast clouds
175,Asau,RO,46.4333,26.4,54.52,91,44,5.57,scattered clouds
176,Chicama,PE,-7.8447,-79.1469,59.54,82,99,7.34,overcast clouds
177,Tucumcari,US,35.1717,-103.725,71.44,56,0,9.22,clear sky
178,Saint-Philippe,RE,-21.3585,55.7679,63.99,78,40,9.04,scattered clouds
179,Ixtapa,MX,20.7,-105.2,83.43,84,100,4.61,overcast clouds
180,Beringovskiy,RU,63.05,179.3167,46.65,75,60,18.97,broken clouds
181,Los Alamos,US,35.8881,-106.307,70.36,44,40,13.8,light rain
182,Hithadhoo,MV,-0.6,73.0833,81.61,72,45,12.75,scattered clouds
183,Blagodatnoye,RU,45.3997,42.5867,59.92,78,74,15.95,broken clouds
184,Menongue,AO,-14.6585,17.691,58.32,25,5,3.04,clear sky
185,Butaritari,KI,3.0707,172.7902,81.7,73,14,13.15,few clouds
186,Prince George,CA,53.9166,-122.753,78.62,30,0,5.75,clear sky
187,Lake Charles,US,30.2131,-93.2044,83.01,72,0,5.75,clear sky
188,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,9.22,scattered clouds
189,Bogorodskoye,RU,56.55,37.8833,45.59,67,100,5.21,overcast clouds
190,Chokurdakh,RU,70.6333,147.9167,41.14,70,100,8.75,overcast clouds
191,Stornoway,GB,58.2093,-6.3865,51.76,94,100,3.0,overcast clouds
192,Cap-Aux-Meules,CA,47.3821,-61.8597,62.65,82,0,11.5,clear sky
193,Najran,SA,17.4924,44.1277,75.85,25,26,2.01,scattered clouds
194,Alyangula,AU,-13.8483,136.4192,81.75,71,52,5.37,broken clouds
195,Hasaki,JP,35.7333,140.8333,82.29,82,57,17.6,broken clouds
196,Taoudenni,ML,22.6783,-3.9836,96.87,15,34,6.44,scattered clouds
197,Lebu,CL,-37.6167,-73.65,48.27,88,68,3.83,broken clouds
198,Pevek,RU,69.7008,170.3133,40.59,73,6,4.23,clear sky
199,Lima,PE,-12.0432,-77.0282,60.91,80,100,12.66,overcast clouds
200,Port Barton,PH,10.4756,119.2472,83.7,74,88,4.5,overcast clouds
201,Saravan,AM,39.7196,45.6483,55.72,50,0,4.41,clear sky
202,Thompson,CA,55.7435,-97.8558,60.96,51,40,3.44,scattered clouds
203,Lewistown,US,40.5992,-77.5714,71.19,97,100,0.0,overcast clouds
204,Dandong,CN,40.1292,124.3947,72.21,75,0,1.74,clear sky
205,Vestmannaeyjar,IS,63.4427,-20.2734,49.96,80,92,11.92,overcast clouds
206,Abong Mbang,CM,3.9833,13.1833,65.95,99,100,4.21,overcast clouds
207,Dulce Grande,MX,23.0,-102.1667,69.44,47,100,4.72,overcast clouds
208,Lafia,NG,8.4833,8.5167,71.28,98,94,2.33,overcast clouds
209,Mahibadhoo,MV,3.7833,72.9667,81.36,74,65,12.66,broken clouds
210,Ponta Do Sol,PT,32.6667,-17.1,76.01,92,100,13.13,light rain
211,Brae,GB,60.3964,-1.353,55.92,96,100,11.32,light rain
212,Golden,US,39.7555,-105.2211,73.87,38,0,0.0,clear sky
213,Alice Springs,AU,-23.7,133.8833,63.95,63,0,10.36,clear sky
214,Coihaique,CL,-45.5752,-72.0662,46.35,71,100,2.3,overcast clouds
215,Saint-Pierre,RE,-21.3393,55.4781,72.57,55,0,5.75,clear sky
216,Roald,NO,62.5833,6.1333,56.75,93,75,4.61,broken clouds
217,La Rioja,ES,42.25,-2.5,69.58,44,86,10.36,overcast clouds
218,Pio Ix,BR,-6.8375,-40.5792,76.28,37,63,6.49,broken clouds
219,Olafsvik,IS,64.8945,-23.7142,48.92,60,100,5.44,overcast clouds
220,Portland,US,45.5234,-122.6762,82.36,38,100,3.44,overcast clouds
221,Katobu,ID,-4.9408,122.5276,83.43,61,100,6.11,overcast clouds
222,Algiers,DZ,36.7525,3.042,71.42,68,0,3.44,clear sky
223,Puerto Madero,MX,14.7208,-92.4215,75.4,100,100,3.44,overcast clouds
224,Zhangjiakou,CN,40.81,114.8794,69.98,60,0,2.21,clear sky
225,Hami,CN,42.8,93.45,81.66,15,0,3.83,clear sky
226,Chumikan,RU,54.7183,135.315,45.12,92,100,14.36,moderate rain
227,Flinders,AU,-34.5833,150.8552,68.05,49,6,7.0,clear sky
228,Mount Gambier,AU,-37.8333,140.7667,52.57,56,37,7.2,scattered clouds
229,Cabedelo,BR,-6.9811,-34.8339,74.07,80,24,12.53,few clouds
230,North Platte,US,41.1239,-100.7654,70.25,47,0,5.01,clear sky
231,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,41,0,14.97,clear sky
232,Surenavan,AM,39.75,44.8,63.72,55,0,3.09,clear sky
233,Padang,ID,-0.9492,100.3543,78.85,72,100,3.18,overcast clouds
234,Mombetsu,JP,44.3525,143.3525,71.62,68,75,4.61,broken clouds
235,Kalabo,ZM,-14.97,22.6814,63.19,19,0,5.03,clear sky
